Date,Open,High,Low,Close,Volume,Adj Close
2013-08-27,11.75,11.90,11.50,11.50,62968000,11.50
2013-08-26,11.80,11.95,11.70,11.70,73322000,11.70
2013-08-23,11.60,11.70,11.45,11.65,107808000,11.65
2013-08-22,11.10,11.40,11.00,11.40,63324000,11.40
2013-08-21,11.20,11.20,11.20,11.20,000,11.20
2013-08-20,11.20,11.40,11.15,11.20,61514000,11.20
2013-08-19,11.35,11.45,11.20,11.20,58951000,11.20
2013-08-16,11.20,11.40,11.10,11.35,141158000,11.35
2013-08-15,10.80,11.30,10.75,11.10,132742000,11.10
2013-08-14,10.85,10.90,10.70,10.85,39767000,10.85
2013-08-13,10.80,10.85,10.65,10.85,42265000,10.85
2013-08-12,10.65,10.70,10.50,10.70,29231000,10.70
2013-08-09,10.75,10.85,10.50,10.55,45959000,10.55
2013-08-08,10.80,10.85,10.70,10.70,37265000,10.70
2013-08-07,10.85,10.90,10.70,10.70,51974000,10.70
2013-08-06,10.95,11.05,10.85,10.90,48131000,10.90
2013-08-05,11.10,11.20,11.00,11.15,39859000,11.15
2013-08-02,11.55,11.55,11.00,11.00,132436000,11.00
2013-08-01,11.10,11.30,11.00,11.30,156733000,11.30
2013-07-31,11.05,11.05,10.60,10.60,75288000,10.60
2013-07-30,10.80,10.95,10.65,10.95,55463000,10.95
2013-07-29,10.75,10.90,10.65,10.70,29146000,10.70
2013-07-26,10.70,10.80,10.65,10.70,26629000,10.70
2013-07-25,10.65,10.75,10.55,10.65,25574000,10.65
2013-07-24,10.70,10.80,10.60,10.65,29287000,10.65
2013-07-23,10.75,10.80,10.55,10.80,70080000,10.80
2013-07-22,10.70,10.90,10.65,10.65,84749000,10.65
2013-07-19,10.30,10.50,10.15,10.45,83742000,10.45
2013-07-18,10.65,10.65,10.25,10.40,137221000,10.40
2013-07-17,11.20,11.30,10.90,10.90,60532000,10.90
2013-07-16,11.15,11.30,11.05,11.20,64685000,11.20
2013-07-15,10.85,11.10,10.85,11.00,61893000,11.00
2013-07-12,10.80,10.90,10.75,10.85,48448000,10.85
2013-07-11,10.75,10.90,10.70,10.85,55052000,10.85
2013-07-10,10.70,10.90,10.55,10.65,77027000,10.65
2013-07-09,10.40,10.55,10.35,10.50,35210000,10.50
2013-07-08,10.70,10.75,10.35,10.35,44423000,10.35
2013-07-05,10.60,10.80,10.50,10.65,52735000,10.65
2013-07-04,10.45,10.60,10.35,10.40,44479000,10.40
2013-07-03,10.90,11.05,10.45,10.45,95445000,10.45
2013-07-02,11.25,11.25,10.90,10.90,60106000,10.90
2013-07-01,10.90,11.40,10.75,11.15,115965000,11.15
2013-06-28,10.75,10.90,10.60,10.90,66091000,10.90
2013-06-27,10.40,10.85,10.35,10.70,127783000,10.70
2013-06-26,10.45,10.50,10.20,10.20,103758000,10.20
2013-06-25,10.30,10.45,10.10,10.10,112720000,10.10
2013-06-24,10.80,11.00,10.30,10.30,145626000,10.30
2013-06-21,10.75,10.95,10.65,10.90,168898000,10.90
2013-06-20,12.00,12.00,11.30,11.40,137862000,11.40
2013-06-19,12.30,12.40,12.10,12.15,43779000,12.15
2013-06-18,12.15,12.40,12.05,12.25,74936000,12.25
2013-06-17,12.20,12.40,12.15,12.15,48845000,12.15
2013-06-14,12.50,12.55,12.20,12.30,64162000,12.30
2013-06-13,12.80,12.80,12.40,12.40,62674000,12.40
2013-06-12,12.85,12.85,12.85,12.85,000,12.85
2013-06-11,12.60,12.85,12.50,12.85,53903000,12.85
2013-06-10,12.75,12.80,12.55,12.65,67478000,12.65
2013-06-07,12.90,12.90,12.30,12.30,79651000,12.30
