102年07月15日至102年07月19日 三大法人買賣超週報
證券代號,證券名稱,外資及陸資買進股數,外資及陸資賣出股數,投信買進股數,投信賣出股數,自營商買進股數,自營商賣出股數,三大法人買賣超股數
0015  ,富邦  ,"375,000","0","0","0","0","0","375,000"
0050  ,台灣50,"22,272,050","4,661,000","0","0","29,560,000","25,245,000","21,926,050"
0051  ,中100 ,"49,000","0","0","0","185,000","0","234,000"
0052  ,FB科技,"5,000","14,000","0","0","13,000","19,000","-15,000"
0053  ,寶電子,"14,000","2,000","0","0","47,000","1,000","58,000"
0054  ,台商50,"41,000","0","0","0","227,000","0","268,000"
0055  ,寶金融,"1,351,000","0","0","0","9,339,000","841,000","9,849,000"
0056  ,高股息,"1,554,000","0","0","0","1,474,000","1,530,000","1,498,000"
0057  ,FB摩台,"1,000","11,000","0","0","19,000","12,000","-3,000"
0058  ,FB發達,"0","0","0","0","17,000","7,000","10,000"
0059  ,FB金融,"53,000","0","0","0","38,000","55,000","36,000"
0060  ,新台灣,"0","0","0","0","20,000","0","20,000"
0061  ,寶滬深,"5,000","5,629,000","0","0","17,244,000","23,285,000","-11,665,000"
006203,寶摩臺,"26,000","0","0","0","19,000","0","45,000"
006204,豐臺灣,"405,000","7,074,000","0","0","9,792,000","1,980,814","1,142,186"
006205,FB上証,"40,000","0","0","760,000","19,886,000","19,193,000","-27,000"
006206,元上證,"75,000","1,975,000","0","0","12,642,000","13,921,000","-3,179,000"
006207,FH滬深,"651,000","9,000","0","0","1,324,000","2,205,000","-239,000"
006208,FB台50,"0","0","0","0","37,000","33,000","4,000"
01001T,富邦R1,"0","2,000","0","0","0","0","-2,000"
01002T,國泰R1,"1,127,000","53,000","0","0","0","0","1,074,000"
01003T,新光R1,"0","40,000","0","0","0","0","-40,000"
01004T,富邦R2,"0","4,000","0","0","0","0","-4,000"
01007T,國泰R2,"0","17,000","0","0","0","0","-17,000"
01008T,駿馬R1,"22,000","24,000","0","0","0","0","-2,000"
1101  ,台泥  ,"27,700,135","17,398,000","1,006,000","662,000","1,661,000","693,000","11,614,135"
1102  ,亞泥  ,"13,348,172","7,315,209","61,000","8,000","329,000","101,000","6,313,963"
1103  ,嘉泥  ,"102,000","26,000","0","0","27,000","0","103,000"
1104  ,環泥  ,"34,000","163,000","3,000","953,000","27,000","22,000","-1,074,000"
1108  ,幸福  ,"24,000","40,000","0","0","21,000","1,000","4,000"
1109  ,信大  ,"6,000","0","0","0","13,000","0","19,000"
1110  ,東泥  ,"34,000","54,000","0","0","43,000","0","23,000"
1201  ,味全  ,"2,182,797","1,624,095","152,000","311,000","623,000","1,287,472","-264,770"
1203  ,味王  ,"34,000","32,000","185,000","0","11,000","3,000","195,000"
1210  ,大成  ,"227,000","146,000","0","0","21,000","7,000","95,000"
1213  ,大飲  ,"0","0","0","0","2,000","1,000","1,000"
1215  ,卜蜂  ,"72,000","186,000","17,000","17,000","16,000","2,000","-100,000"
1216  ,統一  ,"51,822,128","23,737,302","93,000","1,931,000","2,695,964","2,560,000","26,382,790"
1217  ,愛之味,"314,000","21,000","0","0","22,000","4,000","311,000"
1218  ,泰山  ,"33,000","356,000","0","0","15,000","4,000","-312,000"
1219  ,福壽  ,"19,000","4,000","0","0","10,000","0","25,000"
1220  ,台榮  ,"39,000","51,000","0","0","0","0","-12,000"
1225  ,福懋油,"21,000","14,000","0","0","6,000","1,000","12,000"
1227  ,佳格  ,"4,463,380","2,353,349","251,000","108,450","279,000","1,614,718","916,863"
1229  ,聯華  ,"277,000","315,000","0","0","118,000","0","80,000"
1231  ,聯華食,"623,000","1,168,000","1,405,000","282,000","324,000","2,000","900,000"
1232  ,大統益,"44,000","15,000","0","0","6,000","9,000","26,000"
1233  ,天仁  ,"50,000","130,000","0","0","5,000","38,000","-113,000"
1234  ,黑松  ,"479,000","109,000","1,000","0","130,000","46,000","455,000"
1235  ,興泰  ,"3,000","1,000","0","0","1,000","0","3,000"
1236  ,宏亞  ,"26,000","30,000","0","0","54,000","3,000","47,000"
1301  ,台塑  ,"36,782,178","8,727,876","2,052,000","124,920","3,335,000","3,871,346","29,445,036"
