100年03月07日至100年03月11日 三大法人買賣超週報
證券代號,證券名稱,外資及陸資買進股數,外資及陸資賣出股數,投信買進股數,投信賣出股數,自營商買進股數,自營商賣出股數,三大法人買賣超股數
0015  ,富邦  ,"533,000","0","0","0","0","360,000","173,000"
0050  ,台灣50,"10,696,100","8,027,000","0","0","9,923,000","34,482,000","-21,889,900"
0051  ,中100 ,"0","50,000","0","0","6,000","6,000","-50,000"
0052  ,FB科技,"3,000","40,000","0","0","3,000","0","-34,000"
0053  ,寶電子,"228,000","53,000","0","0","0","2,000","173,000"
0054  ,台商50,"126,000","10,000","0","0","26,000","0","142,000"
0055  ,寶金融,"440,000","121,000","824,000","100,000","2,460,000","6,483,000","-2,980,000"
0056  ,高股息,"28,000","72,000","0","0","0","73,000","-117,000"
0057  ,FB摩台,"30,000","238,000","0","0","1,423,000","1,405,000","-190,000"
0058  ,FB發達,"69,000","0","0","0","1,000","3,000","67,000"
0059  ,FB金融,"51,000","35,000","0","0","0","0","16,000"
0060  ,新台灣,"0","0","0","0","15,000","14,000","1,000"
0061  ,寶滬深,"5,238,000","2,900,000","0","400,000","11,562,000","11,162,000","2,338,000"
0080  ,恒中國,"0","0","0","0","400","200","200"
008201,上證50,"0","0","0","0","44,200","83,500","-39,300"
01002T,國泰R1,"61,000","0","0","0","1,127,000","0","1,188,000"
1101  ,台泥  ,"17,560,805","10,663,401","2,088,000","0","695,000","1,952,502","7,727,902"
1102  ,亞泥  ,"3,848,000","3,548,086","19,000","545,000","221,398","223,479","-228,167"
1103  ,嘉泥  ,"148,000","132,000","0","12,000","133,000","237,000","-100,000"
1104  ,環泥  ,"16,000","109,000","16,000","0","425,000","229,000","119,000"
1108  ,幸福  ,"5,000","62,000","0","0","0","0","-57,000"
1109  ,信大  ,"26,000","38,000","0","0","0","0","-12,000"
1110  ,東泥  ,"154,000","55,000","0","0","9,000","0","108,000"
1201  ,味全  ,"261,000","718,000","0","0","232,000","201,500","-426,500"
1203  ,味王  ,"6,000","137,124","14,000","0","3,000","0","-114,124"
1210  ,大成  ,"424,000","90,000","0","500,000","74,000","42,000","-134,000"
1213  ,大飲  ,"17,000","12,000","0","0","4,000","3,000","6,000"
1215  ,卜蜂  ,"63,000","44,000","0","53,000","18,000","38,000","-54,000"
1216  ,統一  ,"7,093,221","9,946,940","1,018,000","0","822,000","328,450","-1,342,169"
1217  ,愛之味,"395,000","80,000","17,000","480,000","4,000","0","-144,000"
1218  ,泰山  ,"53,000","67,000","12,000","0","4,000","84,000","-82,000"
1219  ,福壽  ,"8,000","33,000","15,000","0","0","0","-10,000"
1220  ,台榮  ,"3,000","21,000","0","0","6,000","0","-12,000"
1225  ,福懋油,"4,000","1,000","0","0","75,000","0","78,000"
1227  ,佳格  ,"1,200,000","267,000","1,315,000","0","269,000","135,000","2,382,000"
1229  ,聯華  ,"133,000","188,000","23,000","1,243,000","66,000","54,000","-1,263,000"
