Date,Open,High,Low,Close,Volume,Adj Close
2013-09-04,33.30,33.50,33.05,33.30,51000,33.30
2013-09-03,33.45,33.45,33.15,33.35,53000,33.35
2013-09-02,33.45,33.50,33.15,33.25,14000,33.25
2013-08-30,33.10,33.60,33.00,33.10,51000,33.10
2013-08-29,33.10,33.50,33.00,33.10,51000,33.10
2013-08-28,33.15,33.35,33.00,33.35,43000,33.35
2013-08-27,33.95,33.95,33.15,33.50,89000,33.50
2013-08-26,35.60,35.60,33.65,33.95,98000,33.95
2013-08-23,33.10,33.60,33.10,33.45,74000,33.45
2013-08-22,33.20,33.50,33.00,33.10,133000,33.10
2013-08-21,33.55,33.55,33.55,33.55,000,33.55
2013-08-20,33.30,33.70,33.20,33.55,136000,33.55
2013-08-19,33.65,33.80,33.30,33.30,60000,33.30
2013-08-16,33.10,34.00,33.10,33.65,86000,33.65
2013-08-15,34.00,34.50,33.65,33.65,153000,33.65
2013-08-14,35.00,35.00,34.35,34.50,138000,34.50
2013-08-13,36.00,36.00,34.70,34.95,231000,34.95
2013-08-12,36.90,36.90,35.00,35.65,584000,35.65
2013-08-09,33.80,35.75,33.80,35.30,847000,35.30
2013-08-08,33.70,33.90,33.70,33.80,83000,33.80
2013-08-07,33.70,34.00,33.70,33.80,47000,33.80
2013-08-06,33.95,34.00,33.70,33.90,66000,33.90
2013-08-05,34.20,34.20,33.70,34.00,152000,34.00
2013-08-02,34.20,34.25,33.60,33.90,152000,33.90
2013-08-01,34.35,34.35,34.10,34.20,127000,34.20
2013-07-31,34.30,34.30,34.00,34.00,119000,34.00
2013-07-30,34.00,34.30,34.00,34.10,96000,34.10
2013-07-29,34.00,34.00,33.80,33.80,119000,33.80
2013-07-26,33.85,34.00,33.60,34.00,156000,34.00
2013-07-25,34.40,34.40,33.60,33.70,88000,33.70
2013-07-24,34.20,34.30,34.00,34.25,169000,34.25
2013-07-23,33.85,34.00,33.60,34.00,105000,34.00
2013-07-22,34.00,34.00,33.60,33.75,43000,33.75
2013-07-19,34.00,34.00,33.60,33.60,55000,33.60
2013-07-18,34.10,34.15,33.80,33.80,79000,33.80
2013-07-17,34.25,34.40,33.95,34.15,121000,34.15
2013-07-16,33.30,33.90,33.30,33.90,81000,33.90
2013-07-15,33.00,33.40,33.00,33.15,118000,33.15
2013-07-12,33.80,33.80,32.80,33.00,126000,33.00
2013-07-11,32.50,33.80,32.50,33.30,59000,33.30
2013-07-10,33.90,33.90,32.50,33.30,91000,33.30
2013-07-09,33.50,34.50,33.40,33.60,274000,33.60
2013-07-08,34.00,34.35,33.85,34.35,187000,32.75
2013-07-05,33.60,34.00,33.60,34.00,80000,32.42
2013-07-04,33.85,33.85,33.25,33.80,71000,32.23
2013-07-03,33.80,33.85,33.50,33.80,68000,32.23
2013-07-02,34.00,34.00,33.50,33.55,52000,31.99
2013-07-01,34.20,34.35,33.95,34.00,77000,32.42
2013-06-28,34.35,34.50,33.80,34.00,53000,32.42
2013-06-27,33.80,34.20,33.50,34.20,106000,32.61
2013-06-26,33.50,33.80,33.10,33.80,24000,32.23
2013-06-25,32.70,33.30,32.70,33.10,105000,31.56
2013-06-24,32.80,33.00,32.40,32.70,119000,31.18
2013-06-21,34.00,34.00,32.05,32.70,274000,31.18
2013-06-20,34.10,34.50,33.85,34.10,70000,32.51
2013-06-19,34.60,34.60,34.05,34.10,54000,32.51
2013-06-18,34.70,34.70,34.10,34.50,56000,32.89
2013-06-17,34.80,34.95,34.05,34.50,45000,32.89
2013-06-14,34.60,34.60,34.05,34.50,81000,32.89
2013-06-13,34.45,34.90,34.10,34.40,49000,32.80
2013-06-12,34.45,34.45,34.45,34.45,000,32.85
2013-06-11,34.45,35.10,34.05,34.45,85000,32.85
2013-06-10,34.80,34.80,34.00,34.45,84000,32.85
2013-06-07,34.80,34.80,33.85,34.20,332000,32.61
2013-06-06,35.30,35.30,34.50,34.60,143000,32.99
2013-06-05,35.45,35.45,35.05,35.30,66000,33.66
2013-06-04,35.80,35.80,35.05,35.20,43000,33.56
2013-06-03,34.95,35.95,34.55,35.50,164000,33.85
2013-05-31,35.70,35.70,34.95,34.95,181000,33.32
